country,cancer_mortality,smoking,alcohol,obesity,inactivity,gdp_per_capita,pollution_pm25,medical_doctors_per_10000
SUR,163.222267541,,8.5,19.09955,55.124641,5521.97602122638,12.77661,13.55
CRI,83.934194038,8.1,4.9,37.745804,49.658787,16942.0268119375,13.87021,26.87
CAF,115.66783287,,3.9,6.0883269,19.118834,495.978897288721,26.6619,0.74
COG,97.078698481,2.2,4.0,8.5372791,15.971411,2477.97845544866,36.48812,1.73
HTI,167.964666719,7.4,4.5,10.68923,20.349628,1705.75808460999,9.69133,2.92
ISL,156.19627908,9.5,13.9,19.378752,23.924435,82138.7892973557,6.20275,44.76
CYP,87.598381681,17.9,4.8,22.936533,40.830891,36623.69140625,16.28652,38.06
SOM,142.318198609,,0.0,14.613833,18.09794,596.885985135589,14.41298,0.48
URY,164.435673106,22.2,10.8,35.600987,33.844395,23019.4221560046,8.47571,45.51
GAB,117.189990592,13.5,4.0,10.967557,17.125404,7802.82433276138,22.76377,5.21
KGZ,80.074869939,3.1,2.0,26.599699,19.874479,2138.22210211478,37.58464,15.68
ETH,83.212639702,1.4,0.8,1.0555097,9.4297638,1055.81091592527,22.93779,1.43
SLV,69.392901712,2.2,1.7,30.880031,39.231148,5365.44491399171,23.83927,16.16
UGA,171.307674093,5.6,24.6,4.1128885,6.0155964,1002.30913917142,39.0117,2.09
MWI,169.888967592,6.8,3.6,7.7355236,2.9393499,633.214767978695,20.8175,0.83
ZAF,133.524157045,23.1,15.9,45.774037,48.058529,6034.27208964673,19.74802,8.16
MDV,124.917852153,31.8,2.2,23.553596,25.310144,12587.6126038651,13.00334,23.0
TUR,185.275912305,42.6,2.1,40.868044,35.147224,13375.0947282864,23.14065,23.4
NAM,115.61527126,,9.1,22.829732,20.990103,4187.60500396525,11.81074,6.44
ARE,97.187169786,2.6,0.8,32.07922,63.121742,49850.6872175164,41.7495,29.92
VNM,104.606351403,43.3,3.5,2.0157427,34.525539,4323.35031982451,22.11983,11.07
IRN,102.554127799,24.1,1.8,30.777851,46.278023,5049.29931642754,34.10628,18.11
LTU,190.767123122,28.5,21.3,23.10569,20.746964,27786.0057829276,9.38725,46.45
KIR,239.221814842,24.9,0.2,46.303168,41.143082,2177.70125812262,7.18299,4.68
LUX,131.010366909,22.3,12.9,20.306304,13.901591,133230.619178899,8.89471,29.84
OMN,88.612942172,0.4,0.8,39.939266,40.878246,21027.7384778886,34.44613,19.92
BLZ,78.854507825,2.0,2.6,51.842821,35.16988,7424.75821321022,10.51453,13.36
SAU,69.446004528,27.0,0.3,37.297434,46.666382,36156.848337701,60.54367,34.06
CHN,133.718524419,2.0,3.0,8.816541,27.950201,12951.1782397043,41.41693,28.19
MMR,144.71158606,43.5,2.0,5.471611,23.633318,1233.19666209269,27.57868,7.57
GRC,85.810594131,28.3,4.5,26.723322,37.334476,23343.7103964562,14.62251,67.12
SYR,114.85003355,,0.4,25.966167,42.367371,,25.31133,16.27
NLD,146.746790644,17.1,14.8,14.528421,10.71339,63515.6030780019,10.50064,38.68
KWT,118.166078653,37.4,0.0,38.05657,65.135094,34075.849012909,67.22286,29.69
TTO,138.446174972,,6.7,22.358915,34.63356,18308.4536298575,10.01942,41.57
NGA,77.107676295,5.5,10.8,16.525437,15.544358,2138.76383719983,55.64206,3.8
VUT,76.572799997,9.1,3.7,16.346848,7.5170069,3482.61458237637,8.42148,1.64
LCA,136.650596491,25.2,17.2,33.465132,20.949776,13554.7684784933,8.97661,42.34
CZE,173.419917593,26.5,22.3,22.299154,24.116062,31761.5944102491,14.89686,42.39
BWA,83.975600997,17.7,6.6,18.290879,26.786106,7826.35376483298,13.90313,3.79
MKD,192.473933161,36.4,9.9,27.538985,20.531815,8674.35846327485,23.78762,29.44
JPN,171.947748051,7.2,12.3,3.5280265,44.746857,33836.1756271617,9.79668,26.49
CUB,102.9614396,10.0,5.8,18.511385,72.029533,,13.31979,85.05
KEN,195.388000262,2.0,1.1,12.410276,9.3055487,1942.58802756191,12.3332,2.89
RWA,125.633614187,4.4,9.0,7.7457666,10.067687,1027.03446826565,38.18082,1.04
THA,191.464762876,35.7,13.4,15.384609,29.435331,7195.10130919449,25.48299,5.91
BRN,146.75995423,28.0,0.7,31.710672,27.787956,32890.5491812019,6.72849,20.94
USA,122.39383267,20.9,15.3,41.986719,39.809139,81032.262117545,7.10274,26.54
BIH,183.853552993,42.8,7.2,21.523194,23.692265,8663.02326458629,32.52884,25.84
PAK,84.497829218,16.7,0.3,26.012906,57.007988,1360.32417758419,51.58568,9.71
ERI,116.40654054,,0.5,4.8325729,16.098185,,24.63033,0.89
TZA,108.837884345,1.7,11.3,18.293951,4.2993827,1224.00219726563,14.46877,1.34
BEN,95.786947431,12.1,1.1,7.1299814,15.639967,1394.17784721831,31.51453,2.16
SWZ,145.468131844,2.3,3.8,43.860826,22.623983,3755.52111232464,14.77336,5.57
